"Total Deaths due to Climate Change (by country)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"COM"	260.45	232.12	181.80	129.27	87.70	63.91	53.00	49.17	49.67	52.69	57.30	63.59	71.60	80.52	89.96	100.00	111.04	123.39	137.99
"CRI"	101.55	76.36	58.25	42.63	29.81	24.95	30.20	41.44	56.22	73.17	96.68	125.21	156.32	189.33	220.35	247.37	269.43	286.09	297.15
"CYP"	17.26	15.98	3.90	-22.23	-64.49	-124.11	-204.49	-309.93	-443.10	-575.35	-712.71	-828.94	-917.68	-992.36	-1054.54	-1106.08	-1148.84	-1180.39	-1199.91
"CZE"	52.30	229.68	176.87	-69.42	-547.76	-1320.13	-2601.93	-4371.93	-6221.42	-8264.82	-10292.30	-12033.59	-13796.04	-15739.67	-17676.39	-19502.62	-21104.80	-22429.89	-23496.72
"DEU"	3499.56	2084.44	-78.85	-3079.88	-7600.75	-13142.76	-18252.82	-23330.82	-28770.23	-34045.34	-38521.97	-42617.07	-46282.46	-49428.42	-52307.79	-54920.90	-57152.71	-58885.49	-60053.46
"DJI"	292.86	235.92	168.47	107.81	63.61	39.03	27.17	21.63	20.04	19.74	21.07	24.39	28.51	32.22	35.24	37.91	40.63	43.55	46.54
"DNK"	222.05	163.58	54.13	-103.07	-336.37	-639.00	-990.66	-1362.77	-1745.08	-2200.01	-2732.15	-3286.29	-3837.40	-4380.25	-4883.32	-5351.75	-5789.97	-6188.58	-6528.19
"DOM"	569.10	492.44	443.34	401.31	370.77	362.74	377.74	407.14	446.38	489.24	534.22	578.90	625.66	673.20	711.36	746.12	777.71	807.02	835.81
"ECU"	681.15	737.75	795.27	812.40	769.33	650.98	437.60	110.72	-330.86	-892.21	-1524.68	-2204.00	-2905.79	-3584.18	-4221.09	-4787.86	-5272.53	-5667.33	-5968.25
"EGY"	6183.67	4859.96	2956.60	1468.57	153.08	-917.58	-1696.16	-2626.51	-4020.25	-5755.91	-7082.87	-8259.39	-9373.10	-10973.79	-12805.58	-14547.67	-15989.01	-17248.08	-18482.48
"ESP"	717.42	302.22	-510.08	-1909.41	-4147.79	-7318.60	-11414.98	-16255.96	-20742.49	-24307.98	-27152.24	-29452.25	-31805.03	-34423.61	-36988.15	-39262.14	-41097.46	-42518.45	-43664.72
"EST"	2.49	-42.47	-92.13	-147.54	-205.22	-266.47	-329.59	-391.98	-457.82	-527.59	-556.58	-554.91	-552.95	-569.56	-581.35	-600.60	-616.68	-621.19	-620.71
"ETH"	46618.95	39358.92	29341.78	19612.22	12092.78	7687.64	5441.02	4359.63	3914.97	3833.87	3868.05	3965.79	4159.94	4404.65	4623.53	4785.75	4913.01	5023.04	5174.10
"FIN"	84.99	19.56	-106.29	-284.84	-521.76	-799.62	-1079.47	-1425.83	-1824.64	-2245.06	-2719.60	-3167.28	-3598.97	-4035.66	-4450.09	-4833.94	-5176.09	-5463.72	-5695.39
"FJI"	79.49	64.51	49.54	37.48	29.12	24.79	23.63	24.28	25.85	27.73	29.76	31.78	33.90	36.22	38.60	40.85	42.94	44.81	47.13
"FRA"	2802.33	2111.94	730.09	-1279.45	-4208.88	-8005.91	-12556.68	-16987.63	-22220.78	-27957.56	-33903.24	-40084.79	-46331.93	-52494.46	-58494.35	-64019.07	-68994.01	-73374.07	-77115.92
"GAB"	831.21	691.92	541.82	514.18	477.67	447.68	385.15	315.50	262.10	231.71	217.82	217.57	229.28	248.42	270.33	298.26	327.43	358.91	395.58
"GBR"	2852.16	2229.90	1088.11	-671.66	-3471.40	-7220.08	-11443.95	-15999.09	-21458.90	-27504.09	-33599.73	-39477.71	-45165.73	-51359.48	-57125.53	-62452.11	-67251.01	-71364.46	-74685.65
"GEO"	28.77	-107.94	-257.53	-447.61	-680.26	-879.56	-1075.18	-1259.13	-1445.71	-1688.35	-1857.49	-1807.13	-1736.06	-1846.95	-1975.49	-2082.09	-2138.95	-2164.62	-2191.18
"GHA"	4567.34	3735.10	2677.19	1713.93	1023.83	658.78	513.94	492.54	549.52	660.03	805.91	982.14	1167.06	1342.63	1506.08	1658.85	1797.29	1915.34	2011.28
"GIN"	5390.05	4072.63	3081.95	2421.07	1975.18	1734.47	1686.07	1790.21	1958.00	2137.06	2353.66	2654.46	3034.84	3472.91	3877.94	4371.78	4928.58	5548.59	6322.47
"GMB"	545.13	463.28	349.11	236.83	150.21	101.60	81.49	77.73	85.53	101.80	124.16	151.37	182.22	214.20	244.87	273.71	300.17	323.66	345.01
"GNB"	1426.68	1374.05	1169.10	894.68	631.78	457.12	355.81	300.44	274.22	267.44	273.55	295.07	332.89	379.13	431.67	492.02	564.13	649.39	757.91
"GNQ"	473.71	291.98	194.81	167.59	146.97	133.04	113.08	93.98	81.21	75.61	75.33	79.33	86.99	96.74	107.15	118.72	130.05	141.26	152.94
"GRC"	31.87	-91.42	-301.95	-630.47	-1090.22	-1746.47	-2542.68	-3457.21	-4335.13	-5063.94	-5682.01	-6240.72	-6778.53	-7398.25	-7990.53	-8518.31	-8959.43	-9312.33	-9593.72
"GTM"	4501.96	4172.00	3586.83	2540.47	1782.83	1349.12	1204.09	1229.63	1381.24	1613.27	1919.38	2263.16	2648.48	3056.87	3419.05	3777.88	4119.04	4439.94	4758.42
"HND"	2031.70	1955.04	1716.85	1222.39	847.12	618.43	523.20	500.98	527.23	578.08	651.52	737.00	839.67	946.91	1032.77	1115.61	1193.06	1265.86	1342.47
"HRV"	15.67	70.77	32.49	-106.04	-342.33	-663.27	-1077.75	-1593.54	-2174.92	-2751.69	-3304.93	-3848.31	-4299.75	-4735.88	-5105.70	-5425.84	-5688.55	-5892.11	-6037.40
"HUN"	46.95	207.79	156.02	-68.53	-414.03	-1053.78	-2040.21	-3444.72	-4860.60	-6387.90	-7914.14	-9250.72	-10514.50	-11754.10	-12941.93	-14028.32	-14960.87	-15699.41	-16242.15
"IDN"	47072.81	35781.79	25388.04	17386.48	13008.48	10552.45	10067.95	10793.24	11915.92	13329.28	14912.95	16847.21	19253.10	21568.40	23908.51	26166.42	28353.30	30604.46	33259.04
