"Total Deaths due to Climate Change (by country)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"DEU"	1.5075027E+9	961695827.46	-39502003.33	-1.648126E+9	-4.383786E+9	-8.194658E+9	-1.20974E+10	-1.60286E+10	-2.00063E+10	-2.40124E+10	-2.79905E+10	-3.15215E+10	-3.43281E+10	-3.60629E+10	-3.76971E+10	-3.88382E+10	-3.97242E+10	-4.03724E+10	-4.04535E+10
"DJI"	122952.22	129234.77	128479.86	120388.62	107546.58	97086.63	93245.14	96001.15	107789.97	121907.49	142850.92	172649.35	200678.18	220331.28	230781.23	234439.99	233657.78	230271.53	222612.40
"DNK"	6695523.39	5296813.46	1918898.15	-3960254.19	-14203816.13	-29825491.70	-50364440.50	-73785131.29	-98575871.30	-1.302760E+8	-1.725119E+8	-2.185976E+8	-2.645568E+8	-3.065483E+8	-3.478623E+8	-3.847952E+8	-4.199645E+8	-4.535336E+8	-4.807857E+8
"DOM"	7688742.15	8319966.56	9122329.84	10081883.85	11374788.55	13214506.47	15569049.01	18224009.21	20951658.43	23678153.39	26284990.17	28558237.71	30278044.00	31273314.02	32151880.51	32355708.59	31921675.60	30943633.77	29560736.13
"ECU"	10390097.23	14062717.51	18520554.07	23250434.86	27134929.48	27573287.03	21232949.86	5910748.20	-18764096.04	-52826002.02	-92847555.49	-1.360406E+8	-1.777286E+8	-2.123956E+8	-2.453981E+8	-2.690816E+8	-2.823019E+8	-2.849763E+8	-2.778758E+8
"EGY"	469007288.97	469618573.59	399069527.11	266914277.80	36871993.87	-2.804113E+8	-6.109512E+8	-1.053435E+9	-1.708146E+9	-2.559213E+9	-3.266788E+9	-3.879683E+9	-4.289500E+9	-4.772530E+9	-5.320695E+9	-5.824684E+9	-6.126087E+9	-6.344239E+9	-6.341889E+9
"ESP"	142380368.34	64694260.56	-1.192837E+8	-4.802719E+8	-1.135201E+9	-2.193356E+9	-3.693539E+9	-5.544227E+9	-7.276223E+9	-8.769023E+9	-1.02009E+10	-1.13569E+10	-1.23834E+10	-1.32813E+10	-1.42230E+10	-1.49681E+10	-1.55632E+10	-1.60382E+10	-1.63271E+10
"EST"	9156.52	-168696.27	-405028.91	-699206.68	-1044672.85	-1425422.30	-1769359.33	-2046140.00	-2334347.29	-2667226.70	-2842913.93	-2919503.34	-2885410.49	-2876577.74	-2835699.49	-2828652.46	-2852663.81	-2861920.07	-2846872.04
"ETH"	594176062.50	691880531.87	758520144.01	785376141.05	776057408.46	766745519.07	786558585.20	852043217.66	965546540.02	1.1268523E+9	1.2926459E+9	1.4288051E+9	1.5324417E+9	1.6148401E+9	1.6565854E+9	1.6476104E+9	1.5956655E+9	1.5177139E+9	1.4277986E+9
"FIN"	2288120.21	571152.22	-3418465.88	-9948144.50	-19990659.13	-33715353.79	-49282453.76	-68894013.35	-91422625.19	-1.172231E+8	-1.504764E+8	-1.833890E+8	-2.144866E+8	-2.425249E+8	-2.705175E+8	-2.949490E+8	-3.170541E+8	-3.366361E+8	-3.512154E+8
"FJI"	47121.17	47603.68	46758.57	45977.15	46921.06	51275.40	58871.11	68058.96	77042.55	84349.86	89886.51	92085.37	92296.49	92595.12	91623.92	89367.29	86282.88	83430.49	79641.91
"FRA"	840698630.55	686062657.68	261226436.69	-4.976835E+8	-1.803229E+9	-3.799638E+9	-6.502343E+9	-9.375721E+9	-1.27910E+10	-1.68542E+10	-2.17571E+10	-2.70448E+10	-3.23432E+10	-3.71641E+10	-4.21500E+10	-4.65794E+10	-5.06905E+10	-5.45479E+10	-5.77216E+10
"GAB"	3137757.32	3592957.53	3962069.94	4635524.96	5331472.26	6110572.77	6754299.22	7318742.48	7990049.91	8955704.38	10295616.23	12054442.18	14131767.68	16313896.85	18438417.63	20364757.55	22061861.05	23448254.57	24470181.14
"GBR"	855646606.20	725967688.89	391510296.45	-2.637351E+8	-1.505268E+9	-3.474681E+9	-6.023842E+9	-9.005122E+9	-1.26361E+10	-1.69923E+10	-2.21097E+10	-2.73006E+10	-3.22768E+10	-3.71466E+10	-4.19307E+10	-4.61366E+10	-4.99882E+10	-5.34602E+10	-5.60663E+10
"GEO"	113399.35	-500522.11	-1408280.93	-2902252.95	-4836591.27	-6622128.16	-8155599.57	-9079744.64	-9506299.09	-10482938.39	-11413660.12	-11202978.34	-10209694.63	-9945663.20	-10025570.21	-10009099.10	-9986067.67	-9708407.53	-9224230.46
"GHA"	48442164.27	54504148.99	57121925.06	56288055.73	53592543.09	53354041.77	59990887.12	77067214.04	107268230.19	151433242.71	207036079.09	267733469.81	320070142.29	360505649.35	388854383.17	405117161.33	407817270.95	398351459.41	376526500.32
"GIN"	9100150.05	10249726.25	11363633.93	12588596.18	13975961.42	15800455.35	18427476.22	22004183.41	26264492.69	30941940.17	36065592.30	41783340.40	47913351.52	54157485.77	59914336.96	65699605.70	71306638.16	76669466.91	82224418.09
"GMB"	268448.39	333294.03	390027.76	432505.19	463929.75	514177.35	627915.01	846345.75	1221622.85	1792586.00	2561834.69	3459178.27	4362634.06	5216510.65	5943249.69	6497432.10	6829077.53	6945403.91	6840638.85
"GNB"	422289.63	512890.86	588329.90	640974.06	670085.81	702579.77	750208.85	824619.56	928337.45	1067202.61	1238508.64	1446870.82	1685663.44	1938094.01	2194292.57	2451020.96	2708111.13	2965464.80	3233730.47
"GNQ"	1057465.36	1119585.77	1199149.52	1385911.01	1589068.22	1826062.35	2047839.99	2299325.17	2658056.10	3184571.05	3925531.15	4887965.54	5998293.71	7133357.41	8221011.36	9120738.60	9845970.42	10342052.66	10559371.09
"GRC"	1353398.68	-4109311.90	-14584900.21	-32359676.24	-60227677.97	-1.045666E+8	-1.627640E+8	-2.312161E+8	-2.960440E+8	-3.538060E+8	-4.121895E+8	-4.640067E+8	-5.086744E+8	-5.501950E+8	-5.922569E+8	-6.256937E+8	-6.530791E+8	-6.753753E+8	-6.889515E+8
"GTM"	39997560.83	47897699.90	55176102.22	58700476.91	62281395.40	69146402.84	83700993.28	108378588.35	144280040.56	191516766.02	245143052.59	303547918.31	359538365.03	411027660.56	464255362.89	506165445.06	536125625.43	553886334.76	557533999.06
"HND"	6998212.86	8153075.43	9071222.73	9234914.10	9259166.42	9533953.24	10553917.43	12388266.79	14955291.70	18051873.24	21217662.52	24447153.92	27360065.66	29668358.92	31738508.38	32888787.91	33257349.33	32959173.27	32036249.21
"HRV"	172675.12	840328.85	442634.75	-1637505.87	-5952267.45	-12671632.66	-21483409.61	-31573555.10	-41676242.73	-51400660.01	-60455230.39	-66537992.93	-68959755.88	-69623445.44	-69119655.43	-67851086.26	-65115998.62	-62217946.03	-57372169.84
"HUN"	1220576.21	5809682.58	4805229.91	-2266593.82	-14677343.05	-39189285.30	-76028681.31	-1.248219E+8	-1.724529E+8	-2.254846E+8	-2.831589E+8	-3.416407E+8	-3.854948E+8	-4.173688E+8	-4.441787E+8	-4.651280E+8	-4.872020E+8	-5.087767E+8	-5.231153E+8
"IDN"	7.5316495E+9	7.5724171E+9	7.3425854E+9	7.0048334E+9	6.9261625E+9	7.1086731E+9	7.7283394E+9	8.6508201E+9	9.6667507E+9	1.075704E+10	1.181586E+10	1.275468E+10	1.352961E+10	1.414276E+10	1.466245E+10	1.503712E+10	1.525804E+10	1.534071E+10	1.534696E+10
"IND"	4.317087E+11	4.134119E+11	3.848542E+11	3.559534E+11	3.334893E+11	3.267709E+11	3.471886E+11	3.895413E+11	4.445943E+11	5.031958E+11	5.609169E+11	6.100360E+11	6.459546E+11	6.678613E+11	6.807078E+11	6.835579E+11	6.773365E+11	6.666452E+11	6.526911E+11
"IRL"	1041769.78	1202519.48	-7180.59	-3552202.71	-11010028.44	-23937610.74	-44428329.48	-73075876.50	-1.091282E+8	-1.436676E+8	-1.842579E+8	-2.277515E+8	-2.715713E+8	-3.153908E+8	-3.618703E+8	-4.039578E+8	-4.413962E+8	-4.735669E+8	-4.984415E+8
"IRN"	174098661.59	89475936.90	-1.285450E+8	-5.316047E+8	-1.375959E+9	-2.893684E+9	-4.975909E+9	-8.086593E+9	-1.25747E+10	-1.78313E+10	-2.23058E+10	-2.50374E+10	-2.58385E+10	-2.64805E+10	-2.76168E+10	-2.81812E+10	-2.84098E+10	-2.78554E+10	-2.63557E+10
"IRQ"	70039512.98	80914140.50	80060917.11	75424513.62	45780086.95	-25514128.86	-1.391212E+8	-3.145340E+8	-5.361379E+8	-8.430456E+8	-1.267841E+9	-1.828580E+9	-2.433151E+9	-3.063657E+9	-3.793374E+9	-4.577333E+9	-5.431153E+9	-6.186293E+9	-6.683783E+9
"ISL"	3479.18	3296.23	-3333.50	-21451.86	-56612.22	-110905.55	-187291.61	-288520.95	-418626.08	-569979.56	-740197.69	-916562.12	-1086577.07	-1245564.25	-1394910.78	-1498443.62	-1591309.73	-1652394.82	-1712296.86
"ISR"	4162100.85	1126316.75	-4308771.94	-14206582.29	-30153534.98	-51362757.98	-80132857.67	-1.123037E+8	-1.454145E+8	-1.844510E+8	-2.309490E+8	-2.773956E+8	-3.227450E+8	-3.738258E+8	-4.362432E+8	-4.895907E+8	-5.385679E+8	-5.811966E+8	-6.075429E+8
"ITA"	109828149.80	-1.180634E+8	-5.291684E+8	-1.211522E+9	-2.379909E+9	-4.170615E+9	-6.506179E+9	-8.981816E+9	-1.12650E+10	-1.35058E+10	-1.59226E+10	-1.80951E+10	-2.00395E+10	-2.16758E+10	-2.34487E+10	-2.49203E+10	-2.62022E+10	-2.73284E+10	-2.81040E+10
"JAM"	318706.44	318607.77	325482.30	335400.69	350771.12	376332.57	409472.12	442193.34	467733.53	487602.24	502534.26	514287.79	510394.19	494857.83	478593.65	455628.02	428347.25	399608.27	371995.16
"JOR"	424448.32	319207.92	-198967.21	-1090844.83	-3126670.58	-7081457.12	-13373522.81	-22875575.28	-35191913.68	-48623406.24	-63733386.93	-78781665.92	-91738706.54	-1.093479E+8	-1.310863E+8	-1.494530E+8	-1.621638E+8	-1.679507E+8	-1.663932E+8
"JPN"	2.1632577E+9	5.0427298E+9	7.2137250E+9	8.8635461E+9	9.5776671E+9	8.7426984E+9	6.0476887E+9	2.3271550E+9	-2.348291E+9	-7.771371E+9	-1.34885E+10	-1.89297E+10	-2.36393E+10	-2.74328E+10	-3.03761E+10	-3.28089E+10	-3.46285E+10	-3.56278E+10	-3.58326E+10
"KAZ"	19551436.13	9136998.12	-11650775.46	-52636526.24	-1.106697E+8	-1.810598E+8	-2.524893E+8	-3.128783E+8	-3.675655E+8	-4.482666E+8	-5.118232E+8	-5.377930E+8	-5.310425E+8	-5.759130E+8	-6.517529E+8	-7.144606E+8	-7.628697E+8	-7.719859E+8	-7.645242E+8
"KEN"	181916051.12	212256333.21	232440373.44	241333051.75	242927459.43	250982946.39	278409167.01	334650982.55	429284189.61	570963408.20	772130796.70	1.0104309E+9	1.2401207E+9	1.4460372E+9	1.6241444E+9	1.7645109E+9	1.8542500E+9	1.8902544E+9	1.8713638E+9
"KGZ"	873884.86	755171.85	517900.56	-72685.02	-1099817.76	-2325787.22	-3591867.42	-4412419.43	-5494963.28	-7958826.53	-10436974.26	-11862021.03	-11535604.31	-12025013.11	-14757294.07	-17503991.76	-19814800.75	-20611317.16	-20385572.47
"KHM"	8773401.20	9291381.11	9301912.11	9705916.15	10215780.21	11353616.12	13374247.77	16289285.17	19312881.87	22674761.09	25874597.80	29285144.42	32122172.79	34156536.69	35544416.43	36344983.03	36833132.46	37027718.50	36815713.12
"KOR"	40333515.37	334454120.48	677668104.06	981097312.04	1.1394058E+9	1.0805631E+9	768117917.19	263288006.87	-3.987877E+8	-1.163533E+9	-1.938722E+9	-2.741890E+9	-3.608112E+9	-4.291692E+9	-4.937801E+9	-5.434976E+9	-5.712451E+9	-5.810293E+9	-5.861297E+9
"KWT"	243824.53	-116938.82	-795998.99	-2437317.78	-5503156.36	-11296302.67	-18743598.41	-34539569.37	-62946876.66	-93096624.33	-1.251872E+8	-1.567274E+8	-1.821015E+8	-2.100997E+8	-2.504526E+8	-2.930930E+8	-3.324924E+8	-3.637113E+8	-3.806085E+8
"LAO"	4534121.16	4945087.34	5070627.19	5357092.75	5591985.28	5986345.02	6654665.13	7568331.58	8697936.61	9866459.79	10998462.68	11997495.03	13008987.63	13866902.12	14522545.59	15004827.57	15332698.86	15540047.20	15765829.60
"LBN"	548481.59	68895.18	-1277728.66	-3477626.41	-7916674.91	-14917864.94	-23242321.63	-34364258.55	-48233699.22	-64793806.25	-82547286.79	-96056329.04	-1.005857E+8	-97252187.02	-93920575.64	-89587572.71	-85117385.59	-79232284.37	-71422408.40
"LBR"	1843012.40	2197078.22	2454011.97	2601216.38	2650264.41	2703726.87	2844455.91	3108533.34	3539092.26	4166562.26	4993909.70	5949593.66	6958321.15	7979603.54	9000790.73	9993239.44	10942989.89	11851311.25	12779234.30
"LKA"	33024409.27	30780521.69	27617256.09	24004888.07	20728313.96	19234732.28	21173191.27	25459833.67	31539932.70	40750576.06	51506588.20	61703104.03	69062079.50	73261130.53	75849439.08	77055276.59	77297311.04	76427644.98	73789945.89
"LSO"	1608319.73	1554701.25	1436422.34	1277205.26	1110232.73	996527.70	961663.30	997602.86	1090409.67	1224036.29	1385831.38	1557943.13	1731314.49	1882120.16	1989316.63	2054563.80	2084437.41	2089873.80	2071128.14
"LTU"	40581.48	-715847.59	-1755058.19	-3202851.87	-5208276.65	-7320369.12	-9095385.16	-10290697.16	-11470634.36	-12723183.16	-13819448.68	-13360213.53	-11853741.57	-10496169.37	-9924049.34	-9723891.48	-9468388.37	-8982059.95	-8118548.82
"LUX"	83968.05	86926.86	63064.18	-13277.50	-191235.36	-515679.26	-986614.34	-1603046.10	-2336782.46	-3180996.54	-4251180.32	-5418921.45	-6533155.52	-7450167.46	-8340000.54	-9059813.51	-9676626.16	-10219223.51	-10616511.69
"LVA"	15240.72	-364560.35	-841268.06	-1426053.63	-2137949.68	-2804477.60	-3352688.92	-3668926.02	-3977711.79	-4346488.66	-4602153.09	-4241854.75	-3808602.65	-3458132.42	-3332409.61	-3302368.72	-3220008.77	-3032523.90	-2735278.71
"MAR"	32953867.59	29783456.85	18948292.44	-1731845.82	-39532677.55	-94809760.70	-1.605105E+8	-2.337433E+8	-3.184602E+8	-4.022969E+8	-4.824475E+8	-5.274370E+8	-5.265076E+8	-5.180458E+8	-5.833796E+8	-6.285716E+8	-6.450117E+8	-6.423885E+8	-6.117231E+8
"MDA"	30878.45	-149256.97	-416679.55	-830476.15	-1369235.98	-1823117.32	-2098278.18	-2285425.00	-2597139.89	-3224179.55	-3579920.86	-3322977.06	-2765985.04	-2409759.75	-2200589.68	-2062108.87	-1927449.59	-1749639.41	-1549442.21
"MDG"	35567924.08	43343539.01	50090926.43	54991563.86	57772468.40	60745917.01	66487391.52	77040210.81	95589897.16	122090285.78	156514431.30	197051196.45	241737581.64	288439381.10	333237178.38	372864513.73	405518937.93	432375511.57	454718542.09
"MDV"	3496.01	4665.75	6373.92	9188.12	13673.37	20228.63	28526.33	37772.73	48452.74	60672.99	72215.37	80872.31	85666.30	88203.48	90314.60	89029.06	85634.24	80877.46	74965.74
"MEX"	1.0969965E+9	1.1349903E+9	1.1647376E+9	1.1832342E+9	1.2078639E+9	1.2812685E+9	1.4377111E+9	1.7527430E+9	2.2525869E+9	2.8716841E+9	3.5204987E+9	4.1686881E+9	4.7363431E+9	5.2647710E+9	5.7261496E+9	6.0175985E+9	6.1173052E+9	6.0852581E+9	5.8004914E+9
"MKD"	57171.59	232306.63	301113.36	176442.26	-243565.30	-1053322.13	-2211347.40	-3614570.51	-5102287.30	-6628184.86	-8026734.37	-8723555.22	-8919127.34	-8756538.08	-8473062.96	-8109188.25	-7612774.30	-7136444.38	-6470052.83
"MLI"	27521821.47	32551182.22	37801757.91	42384839.97	46381861.44	52279794.83	63474842.33	83934453.35	118853763.27	173384025.79	250419934.82	347152128.12	454865011.04	568218499.64	680562045.25	785491943.70	875538117.69	949324162.85	1.0040456E+9
"MLT"	2570.31	-2118.34	-17027.48	-43878.83	-83768.40	-127137.53	-172795.63	-226509.45	-286252.12	-352857.36	-424825.81	-501331.93	-541971.61	-558570.31	-562627.19	-559259.71	-559818.10	-562691.52	-560529.84
"MNE"	1822.49	25535.13	35572.77	17632.76	-44338.55	-155781.76	-324245.59	-538654.99	-782916.32	-1023793.52	-1279855.87	-1457474.94	-1550516.92	-1595553.12	-1595188.55	-1568104.70	-1503990.74	-1435455.23	-1322670.36
"MNG"	208629.64	973784.82	2395680.42	4283471.41	6391070.24	7841662.51	7424518.08	4373394.95	-1261935.62	-8165119.30	-16094421.13	-25785271.00	-34618570.41	-40397351.92	-44111905.55	-46450061.83	-48270187.80	-49759934.76	-48962209.22
"MOZ"	46638807.71	52514485.73	56216210.00	58283432.46	59292169.23	62146174.21	70179017.73	87047725.00	116780568.90	161705077.22	221717633.68	291910832.08	360217160.25	426325147.24	487932553.45	539508293.16	574950371.53	593048883.96	594901080.72
"MRT"	2759335.03	3128379.08	3354059.25	3427536.46	3393300.86	3432195.74	3716047.19	4384252.86	5589666.23	7412150.83	9845167.54	12685103.33	15563088.87	18327642.89	20844551.86	22984258.64	24590092.36	25657630.25	26137713.82
"MUS"	62677.14	81894.99	96785.33	119660.98	145475.93	175411.24	213354.13	270460.52	348097.62	442112.07	548550.07	648163.66	722034.23	752495.12	756607.11	731476.29	698487.09	657129.38	605274.98
"MWI"	29659432.74	34511134.05	38499444.13	41269736.74	43051381.18	45847102.91	51829237.03	62685571.62	81076749.97	108201032.34	144394445.84	189285753.54	239305949.69	290084434.24	342522349.15	392127211.74	435981777.17	473112624.84	503516798.82
"MYS"	20392167.48	23037561.54	26138087.79	31425076.45	40638309.54	55948994.97	78180317.42	105701810.20	134346450.69	164814692.27	195156431.90	222550080.40	245001157.50	264137717.44	276839276.06	280397942.74	278012124.99	271757397.32	261792150.58
"NAM"	2176700.04	2311644.46	2391217.05	2645086.92	2868729.49	3077345.13	3170182.51	3210718.42	3299150.82	3486277.30	3768315.72	4160866.20	4630052.99	5100910.21	5511321.10	5790653.22	5952780.17	6003891.40	5954641.18
"NER"	52438093.49	70630820.56	91456008.26	113978143.37	137249762.82	165792622.55	206392028.56	265939150.80	354501199.21	482160160.24	658880414.72	894180302.69	1.1938860E+9	1.5557547E+9	1.9740028E+9	2.4437782E+9	2.9580655E+9	3.5110293E+9	4.1030632E+9
"NGA"	5.6237852E+9	6.8981119E+9	7.9710228E+9	8.7539122E+9	9.3129820E+9	1.012687E+10	1.171071E+10	1.452935E+10	1.915073E+10	2.609958E+10	3.568290E+10	4.760042E+10	6.087346E+10	7.486673E+10	8.881872E+10	1.022123E+11	1.143311E+11	1.248795E+11	1.335864E+11
"NLD"	38164007.04	24752608.16	-11941637.82	-80804513.23	-1.985260E+8	-3.706105E+8	-5.757712E+8	-7.775567E+8	-9.861952E+8	-1.220875E+9	-1.503392E+9	-1.790887E+9	-2.081777E+9	-2.310669E+9	-2.529539E+9	-2.708672E+9	-2.868662E+9	-3.016266E+9	-3.128971E+9
"NOR"	15014969.69	14119316.47	10065405.48	443478.39	-18553668.78	-51244351.36	-97219385.78	-1.557138E+8	-2.322290E+8	-3.286692E+8	-4.451417E+8	-5.790077E+8	-7.190443E+8	-8.580074E+8	-1.001886E+9	-1.119925E+9	-1.234661E+9	-1.327686E+9	-1.419620E+9
"NPL"	61673378.92	60966511.38	58641383.56	55233427.98	51164042.51	48267562.06	48712140.58	53213547.00	60846814.75	68293555.19	74327607.82	75839794.66	74314735.01	75380219.10	79147945.59	80959109.93	81160449.38	80747473.09	78463722.45
"NZL"	456399.18	4056276.22	8270657.62	12117012.23	14311052.81	13816024.32	8378850.58	-3046242.48	-22728867.44	-51262808.84	-89736875.46	-1.344589E+8	-1.812440E+8	-2.258402E+8	-2.659965E+8	-2.974119E+8	-3.232004E+8	-3.446792E+8	-3.572462E+8
"OMN"	844948.00	1508223.76	976903.40	-203773.83	-2042416.29	-5179136.77	-9724677.93	-19793276.03	-48469563.25	-87395281.66	-1.168821E+8	-1.202044E+8	-1.069486E+8	-87934416.58	-74242355.26	-63006567.99	-54940985.02	-50107393.61	-46201549.61
"PAK"	5.8148619E+9	6.5432993E+9	7.0673106E+9	7.1310335E+9	6.9398717E+9	6.7638740E+9	6.9971998E+9	7.7423245E+9	8.9339420E+9	1.033940E+10	1.185089E+10	1.335795E+10	1.484216E+10	1.567903E+10	1.615765E+10	1.624600E+10	1.599396E+10	1.559925E+10	1.493812E+10
"PAN"	1092082.15	1106505.83	1138531.69	1183258.04	1278966.18	1522312.95	2014871.49	2842863.00	4024889.67	5528304.71	7268503.09	9067673.54	10712679.15	12037132.00	13342533.92	14232892.67	14632991.96	14551507.83	14010678.04
"PER"	42214989.74	56935950.45	76599064.55	98427077.02	116152809.59	117282984.70	84464381.80	5073561.69	-1.163390E+8	-2.790628E+8	-4.687379E+8	-6.624938E+8	-8.342708E+8	-9.658723E+8	-1.084942E+9	-1.161898E+9	-1.194144E+9	-1.184055E+9	-1.137741E+9
"PHL"	444409677.64	483763915.51	515596211.62	549131866.30	597002666.67	693342677.38	873890586.42	1.1509405E+9	1.5145547E+9	1.9362612E+9	2.3880770E+9	2.8130528E+9	3.1842676E+9	3.5256072E+9	3.7851396E+9	3.9600814E+9	4.0576261E+9	4.1143283E+9	4.0755157E+9
"POL"	9386031.32	111393172.37	108881775.16	-68915781.64	-4.083381E+8	-9.468855E+8	-1.734019E+9	-2.728706E+9	-3.908851E+9	-5.104555E+9	-6.274573E+9	-7.359549E+9	-7.970007E+9	-8.313225E+9	-8.566605E+9	-8.760355E+9	-9.028905E+9	-9.312501E+9	-9.463442E+9
"PRT"	3472778.35	-422714.20	-8730204.15	-23102747.56	-46850940.11	-81494971.34	-1.287535E+8	-1.835223E+8	-2.346125E+8	-2.795690E+8	-3.247246E+8	-3.624809E+8	-3.927192E+8	-4.087900E+8	-4.200410E+8	-4.234220E+8	-4.233994E+8	-4.213381E+8	-4.149586E+8
"PRY"	1872544.73	2465657.60	3200055.41	4026933.82	4871590.37	5530549.21	5668590.11	4720308.46	2247166.56	-1541443.36	-6325122.13	-11661366.23	-16865757.89	-21345958.26	-25954740.09	-29704575.70	-32275828.53	-33493841.36	-33364290.25
"QAT"	127266.40	26396.70	-326846.40	-1419346.09	-4537501.54	-12772395.98	-30341883.65	-58109256.44	-1.035766E+8	-1.567323E+8	-1.881376E+8	-1.870992E+8	-1.681500E+8	-1.430831E+8	-1.252178E+8	-1.118177E+8	-1.038929E+8	-98750047.07	-92568707.43
"ROU"	2850848.02	24789342.37	30060197.24	5615005.94	-44213583.88	-1.733520E+8	-3.362419E+8	-5.261705E+8	-6.992722E+8	-8.651254E+8	-9.968340E+8	-1.059447E+9	-1.065969E+9	-1.030027E+9	-1.017883E+9	-1.002943E+9	-9.693780E+8	-9.265587E+8	-8.636479E+8
"RUS"	2.1232651E+9	325481418.23	-2.327774E+9	-6.203883E+9	-1.13645E+10	-1.54011E+10	-1.82486E+10	-2.01040E+10	-2.19548E+10	-2.51786E+10	-2.70215E+10	-2.52666E+10	-2.21925E+10	-2.00587E+10	-1.97928E+10	-2.02092E+10	-2.04577E+10	-2.00343E+10	-1.85451E+10
"RWA"	7425783.84	8694273.10	9549549.51	9917438.52	9858152.82	10017181.29	10980868.51	13005082.06	16159651.87	20886218.32	28566659.27	34253880.80	40866310.72	45121162.58	47356496.99	47596585.20	45634326.09	41981310.68	36977143.50
"SAU"	55104756.07	39518495.33	2136282.84	-87955744.43	-2.733063E+8	-5.927137E+8	-1.090475E+9	-1.816819E+9	-2.673443E+9	-3.702013E+9	-4.736563E+9	-5.491710E+9	-5.931158E+9	-6.380442E+9	-7.002767E+9	-7.437755E+9	-7.517178E+9	-7.278299E+9	-6.829399E+9
"SDN"	248878260.51	260146769.29	282193591.70	308799641.34	340661348.85	383885733.77	445815755.47	530612907.72	634462284.79	753391051.65	886804247.09	1.0346526E+9	1.1912211E+9	1.3526109E+9	1.5075305E+9	1.6608516E+9	1.8069497E+9	1.9439030E+9	2.0775778E+9
"SEN"	30720675.97	37159877.61	42091272.76	45112127.37	46591395.14	48828034.54	53921093.75	63291960.43	78598128.44	100956852.36	131173696.32	168154620.02	207840768.79	247770591.80	285481581.00	320524576.45	350981901.21	376010564.91	394711830.53
"SGP"	1511520.92	1757554.90	1943162.15	2060301.54	2259795.21	2711963.22	3443527.45	4592310.28	6141088.72	7896990.54	9213876.72	10479218.99	11935069.79	13227159.22	13871805.57	13832991.28	13273095.33	12358660.49	11269599.95
"SLE"	2565403.05	2551430.74	2460928.78	2295622.93	2116488.45	2056810.02	2235917.12	2752923.37	3704829.81	5152292.56	7042324.92	9035116.18	10780248.56	12304100.74	13535583.57	14383854.35	14743673.91	14645482.82	14089164.17
"SLV"	134706.62	131355.05	127057.49	118031.25	104086.10	87531.47	72182.35	56275.57	37398.08	7015.09	-35911.08	-75782.58	-82866.24	-80447.32	-80594.55	-77702.43	-68845.54	-54834.81	-38704.07
"SRB"	173156.00	2556715.27	2592541.48	-52317.34	-5915273.16	-15581363.53	-29138242.32	-44821426.55	-59365331.94	-72244312.44	-82238081.01	-84781409.52	-82635284.26	-77389231.03	-71319883.63	-65282169.73	-58948358.34	-53507603.27	-47351718.04
"STP"	2684.70	3226.34	3606.58	3886.40	4292.72	5215.51	6959.92	9713.61	13523.21	18194.85	23388.97	28442.32	32816.72	36723.67	39912.12	42127.31	43261.49	43634.93	43246.42
"SUR"	11318.70	14134.95	18266.50	22656.30	24906.70	23243.83	14515.91	447.67	-23056.70	-50982.46	-78846.23	-111423.50	-140570.80	-159083.06	-175302.60	-184611.46	-187452.74	-184441.78	-176169.20
"SVK"	306062.12	2981778.38	3590303.17	1051679.67	-5350814.84	-15815218.16	-31970745.21	-52980902.55	-75489750.25	-98959228.21	-1.218268E+8	-1.424389E+8	-1.547910E+8	-1.625088E+8	-1.686509E+8	-1.734124E+8	-1.791293E+8	-1.847491E+8	-1.877063E+8
"SVN"	41600.40	311506.30	186682.17	-515279.74	-2019307.45	-4451424.70	-7518804.08	-11201431.59	-15207856.24	-19424866.85	-23734247.67	-28557462.32	-32337212.96	-35415307.46	-38022876.40	-40092585.19	-42240972.57	-44411363.47	-46016934.64
"SWE"	23759420.59	19231833.20	9073927.27	-8777433.46	-39933042.45	-90444515.48	-1.591258E+8	-2.429588E+8	-3.454713E+8	-4.813571E+8	-6.622357E+8	-8.382385E+8	-1.026435E+9	-1.216002E+9	-1.416658E+9	-1.608143E+9	-1.793777E+9	-1.968927E+9	-2.117731E+9
"SWZ"	941491.68	1028680.48	1073811.01	1105071.39	1132668.60	1183469.21	1277496.90	1417206.41	1573758.56	1724696.38	1877718.78	2046412.44	2224997.65	2399770.43	2545370.42	2693814.19	2840009.98	2983131.85	3136155.04
"SYR"	2792499.35	537690.36	-4405490.82	-14015568.01	-33979925.72	-68376864.35	-1.173682E+8	-1.955897E+8	-3.055113E+8	-4.473179E+8	-6.171610E+8	-8.220708E+8	-1.000684E+9	-1.134028E+9	-1.252753E+9	-1.348152E+9	-1.440399E+9	-1.482382E+9	-1.453942E+9
"TGO"	4377624.92	5231856.17	6020274.53	6837951.97	7739424.03	8901888.38	10515405.22	12678359.55	15251362.97	18110945.52	21393039.85	25294485.43	29754798.50	34624707.43	39436102.54	44700063.98	50224359.93	55937369.73	62081641.61
"THA"	327245956.50	312302341.54	290980926.18	272516119.13	258729499.75	252389247.55	254317506.25	261843785.59	271520714.36	280223198.30	286118666.33	289150018.81	287707034.39	283415647.63	277510545.89	269166927.07	258540805.05	246582817.11	234185119.32
